"CASE";"MA01_01";"MA02";"MA05_01";"MA05_02";"MA05_03";"MA05_04";"MA06_01";"MA06_02";"MA06_03";"MA07_01";"MA07_02";"MA07_03";"MA07_04";"MA07_05";"MA07_06";"MA08_01";"MA08_02";"MA08_03";"MA08_04";"MA08_05";"MA08_06";"RM01";"TS01_01";"TS03";"TS04";"TS18";"TS12_01";"TS13";"TS16"
"324";324;8;"Eher ungerecht";3;3;3;4;4;2;4;3;4;3;4;4;4;3;4;5;5;5;5;3;25;"Männlich";"Bachelor - Abschluss";"Unter 1000€";9;"Ich spreche sehr gut deutsch.";"5"
"325";325;4;"Weder noch";4;4;4;4;3;3;3;3;3;4;2;3;3;1;2;2;2;3;2;2;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";6;"Deutsch ist meine Muttersprache.";"4"
"337";337;5;"Eher gerecht";1;3;7;3;4;1;4;3;5;3;4;4;5;5;5;6;1;5;1;4;25;"Weiblich";"Bachelor - Abschluss";"Kein Einkommen";4;"Deutsch ist meine Muttersprache.";"7"
"342";342;4;"Gerecht";6;5;5;6;4;1;4;3;4;4;2;4;4;3;4;4;3;5;4;1;47;"Männlich";"Master - Abschluss";"6000€ bis unter 7000€";7;"Deutsch ist meine Muttersprache.";"8"
"346";346;9;"Ungerecht";1;2;1;2;4;2;4;4;4;2;3;3;4;3;3;3;3;3;3;3;34;"Weiblich";"Master - Abschluss";"2000€ bis unter 3000€";1;"Deutsch ist meine Muttersprache.";"5"
"348";348;9;"Eher ungerecht";2;2;1;2;4;2;3;2;3;2;2;2;3;2;4;2;4;1;2;4;27;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";6;"Deutsch ist meine Muttersprache.";"5"
"349";349;9;"Ungerecht";3;2;1;2;4;2;3;3;4;2;2;2;4;2;3;3;2;2;3;2;24;"Männlich";"Bachelor - Abschluss";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"6"
"350";350;8;"Gerecht";5;5;6;5;4;1;4;4;5;3;3;3;5;5;4;4;2;4;4;2;32;"Männlich";"Bachelor - Abschluss";"3000€ bis unter 4000€";8;"Deutsch ist meine Muttersprache.";"7"
"353";353;10;"Ungerecht";1;1;1;1;3;3;3;4;4;2;3;3;3;1;1;1;1;2;2;3;23;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"7"
"355";355;9;"Ungerecht";2;2;3;3;4;1;5;3;4;3;4;4;4;4;2;3;4;2;5;1;29;"Weiblich";"Bachelor - Abschluss";"2000€ bis unter 3000€";6;"Deutsch ist meine Muttersprache.";"8"
"357";357;7;"Weder noch";6;4;5;5;4;2;4;3;5;3;3;3;5;4;5;4;3;5;4;4;32;"Männlich";"Bachelor - Abschluss";"2000€ bis unter 3000€";9;"Deutsch ist meine Muttersprache.";"6"
"358";358;9;"Ungerecht";2;2;3;3;3;4;2;3;3;2;2;3;4;2;2;2;3;3;2;1;36;"Weiblich";"Master - Abschluss";"1000€ bis unter 2000€";5;"Ich spreche sehr gut deutsch.";"5"
"359";359;9;"Sehr ungerecht";3;2;1;2;3;4;3;3;4;2;3;3;4;2;3;4;5;5;4;3;33;"Weiblich";"Master - Abschluss";"2000€ bis unter 3000€";3;"Deutsch ist meine Muttersprache.";"6"
